Titolo,Link,Età,Descrizione,Tipo,Difficoltà,Durata,Lingua,Keywords
Learn to Drag and Drop,https://studio.code.org/s/pre-express-2022/lessons/1,4-8,"This skill-building lesson will give students an idea of what to expect when they head to the computer lab. It begins with a brief discussion introducing them to computer lab manners, then they will progress into using a computer to complete online puzzles.",Esercizi,Media,30-60,Inglese,"['complete online puzzles', 'brief discussion introducing', 'computer lab manners', 'computer lab', 'give students']"
Sequencing with Scrat,https://studio.code.org/s/pre-express-2022/lessons/2,4-8,"In this skill-building lesson, students will develop sequential algorithms to move a squirrel character from one side of a maze to the acorn at the other side. To do this they will stack code blocks together in a linear sequence.",Video,Media,30-60,Inglese,"['stack code blocks together', 'develop sequential algorithms', 'squirrel character', 'linear sequence', 'building lesson']"
Programming with Angry Birds,https://studio.code.org/s/pre-express-2022/lessons/3,4-8,"In this skill-building lesson, students will continue to develop sequential algorithms.",Esercizi,Media,30-60,Inglese,"['develop sequential algorithms', 'building lesson', 'students', 'skill', 'continue']"
Programming with Rey and BB-8,https://studio.code.org/s/pre-express-2022/lessons/4,4-8,"In this skill-building lesson, students will use their newfound programming skills in more complicated ways to navigate a tricky course with BB-8.",Video,Difficile,60-90,Inglese,"['newfound programming skills', 'tricky course', 'complicated ways', 'building lesson', 'use']"
Programming with Harvester,https://studio.code.org/s/pre-express-2022/lessons/5,4-8,"In this skill-building lesson, students will apply the programming concepts that they have learned to the Harvester environment. Students will continue to develop sequential algorithm skills and start using the debugging process. ",Video,Media,30-60,Inglese,"['develop sequential algorithm skills', 'start using', 'programming concepts', 'harvester environment', 'debugging process']"
Loops with Scrat,https://studio.code.org/s/pre-express-2022/lessons/6,4-8,"In this skill-building lesson, students will practice the concept of loops in programming puzzles where the goal is to help the squirrel reach the acorn.",Video,Media,30-60,Inglese,"['squirrel reach', 'programming puzzles', 'building lesson', 'students', 'skill']"
Loops with Laurel,https://studio.code.org/s/pre-express-2022/lessons/7,4-8,"In this lesson, students continue learning the concept of loops. Here, Laurel the Adventurer uses loops to collect treasure in open cave spaces. A new get treasure block is introduced to help her on her journey.",Video,Media,30-60,Inglese,"['new get treasure block', 'students continue learning', 'open cave spaces', 'adventurer uses loops', 'collect treasure']"
Ocean Scene with Loops,https://studio.code.org/s/pre-express-2022/lessons/8,4-8,"In this skill-building lesson, students learn to draw images by looping simple sequences of instructions. Here, loops are creating patterns. At the end of this lesson, students will be given the opportunity to create their own images.",Video,Media,30-60,Inglese,"['looping simple sequences', 'creating patterns', 'students learn', 'draw images', 'building lesson']"
Drawing Gardens with Loops,https://studio.code.org/s/pre-express-2022/lessons/9,4-8,"In this skill-building lesson, students learn to draw images by looping simple sequences of instructions. Here, students use loops to create patterns. At the end of this lesson, students will be given the opportunity to create their own images.",Esercizi,Media,30-60,Inglese,"['looping simple sequences', 'students use loops', 'students learn', 'draw images', 'create patterns']"
 On the Move with Events,https://studio.code.org/s/pre-express-2022/lessons/10,4-8,"In this mini-project, students will have the opportunity to learn how to use events in Play Lab and to apply all of the coding skills they've learned to create an animated game. It's time to get creative and make a story in the Play Lab!",Video,Media,30-60,Inglese,"['use events', 'play lab', 'play lab', 'get creative', 'coding skills']"
 A Royal Battle with Events,https://studio.code.org/s/pre-express-2022/lessons/11,4-8,"In this mini-project, students will have the opportunity to learn how to use events in Play Lab and apply all of the coding skills that they've learned to create an animated game. ",Esercizi,Media,30-60,Inglese,"['use events', 'play lab', 'coding skills', 'animated game', 'students']"
Programming with Angry Birds,https://studio.code.org/s/express-2022/lessons/1,9-18,"In this skill-building lesson, students will develop sequential algorithms to move a bird from one side of a maze to the pig on the other side. To do this, they will stack code blocks together in a linear sequence, making them move straight, turn left, or turn right.",Video,Media,30-60,Inglese,"['stack code blocks together', 'develop sequential algorithms', 'turn right', 'turn left', 'linear sequence']"
Debugging in Maze,https://studio.code.org/s/express-2022/lessons/2,9-18,"In this skill-building lesson, students will encounter pre-written code that contains mistakes. They will need to step through the existing code to identify errors.",Video,Media,30-60,Inglese,"['written code', 'identify errors', 'existing code', 'encounter pre', 'contains mistakes']"
Collecting Treasure with Laurel,https://studio.code.org/s/express-2022/lessons/3,9-18,"In this skill-building lesson, students will continue to develop their understanding of algorithms and debugging. With a new character, Laurel the Adventurer, students will create sequential algorithms to get Laurel to pick up treasure as she walks along a path.",Video,Media,30-60,Inglese,"['create sequential algorithms', 'walks along', 'new character', 'building lesson', 'get laurel']"
Creating Art with Code,https://studio.code.org/s/express-2022/lessons/4,9-18,"In this skill-building lesson, students will take control of the Artist to complete drawings on the screen.",Video,Media,30-60,Inglese,"['take control', 'complete drawings', 'building lesson', 'students', 'skill']"
Swimming Fish in Sprite Lab,https://studio.code.org/s/express-2022/lessons/5,9-18,Students will program a simple animated underwater scene in this skill-building lesson.,Video,Media,30-60,Inglese,"['simple animated underwater scene', 'building lesson', 'students', 'skill', 'program']"
Making Sprites,https://studio.code.org/s/express-2022/lessons/6,9-18,"In this skill-building lesson, students will work through a series of programming levels on the computer, finishing with an open-ended “free play” task where they can build whatever they like. Students will write programs and learn about the two concepts at the heart of Sprite Lab: sprites and behaviors. ",Esercizi,Media,30-60,Inglese,"['ended “ free play ” task', 'write programs', 'two concepts', 'sprite lab', 'programming levels']"
Sprites in Action,https://studio.code.org/s/express-2022/lessons/7,9-18,"In this skill-building lesson, students will work through a series of programming levels on the computer, finishing with an open-ended “free play” task where they can build whatever they like. Students will write programs that respond to timed events and user input. ",Video,Media,30-60,Inglese,"['ended “ free play ” task', 'write programs', 'user input', 'timed events', 'programming levels']"
Virtual Pet with Sprite Lab,https://studio.code.org/s/express-2022/lessons/8,9-18,"Students will create an interactive Virtual Pet that looks and behaves how they wish in this mini-project lesson. Students will use Sprite Lab's ""Costumes"" tool to customize their pet's appearance. They will then use events, behaviors, and other concepts they have learned to bring their project to life.",Esercizi,Difficile,60-90,Inglese,"['use sprite lab', 'interactive virtual pet', 'use events', 'project lesson', 'pet']"
Dance Party,https://studio.code.org/s/express-2022/lessons/9,9-18,"In this skill-building lesson, students will program an interactive dance party. ",Video,Facile,0-30,Inglese,"['interactive dance party', 'building lesson', 'students', 'skill', 'program']"
 Loops with Rey and BB-8,https://studio.code.org/s/express-2022/lessons/10,9-18,This skill-building lesson has students using loops to help the Star Wars character BB-8 efficiently traverse a maze.,Video,Media,30-60,Inglese,"['star wars character bb', 'students using loops', '8 efficiently traverse', 'building lesson', 'skill']"
