id;link;disciplines;keywords;title;description;type;language;difficulty;format;duration;public;min_age;max_age;resource_image
0;https://www.merlot.org/merlot/viewMaterial.htm?id=74386;Business/Economics/Micro;Cost Concepts;Cost Concepts;Read the lecture and try to answer the interspersed questions.;Presentation;English;Medio bassa;;0-30;['College General Ed'];18;20;
1;https://www.merlot.org/merlot/viewMaterial.htm?id=75420;Humanities/History/Area Studies/Africa;demographic,slave,demographic;The Atlantic Slave Trade: Demographic Simulation;An attempt to quantify the demographic impact of the Atlantic slave trade on African regions, allowing users to set and modify demographic conditions.;Simulation;English;Medio Alta;Website;0-30;['High School', 'College General Ed'];14;20;
2;https://www.merlot.org/merlot/viewMaterial.htm?id=74306;Mathematics and Statistics/Mathematics/Geometry and Topology/Euclidean Geometry;group,frieze,space,planar,rosette,wallpaper;Kali: Wallpaper Patterns;demonstrates planar symmetry used to visualize molecular data as wireframe, space-filled, and ball and stick representations;Tutorial;English;Bassa;;30-60;['High School', 'College General Ed'];14;20;
3;https://www.merlot.org/merlot/viewMaterial.htm?id=74722;Science and Technology/Physics/Electricity and Magnetism/Circuits;applet;RC Circuits (DC charge/discharge);This java applet shows the transient behavior that occurs when the capacitor is being charged and discharged by a DC voltage source;Simulation;English;Medio bassa;;0-30;['College General Ed'];18;20;
4;https://www.merlot.org/merlot/viewMaterial.htm?id=74728;Science and Technology/Physics/Mathematics;applet;Fermats principle(Find the fastest Path);Fermats principle states that: The path of a ray of light between two points is the path that minimizes the travel time. The same principle can be applied to different situations. This java applet give you an example of such application.;Simulation;English;Medio bassa;;0-30;['College General Ed', 'Graduate School'];18;28;
5;https://www.merlot.org/merlot/viewMaterial.htm?id=75569;Academic Support Services/Library and Information Services/Information and Communication Technology Literacy;site,use basic,print;Evaluate Internet Sites 101!;"This web tutorial teaches the user how to evaluate Internet sites. At the end of the tutorial the author claims that the user will be able to use basic criteria to evaluate Internet sites; determine if the web site meets the basic needs and standards of quality; use the information covered in the tutorial to apply to various formats, such as print, electronic, and non-print.... Show More";Tutorial;English;Medio bassa;Website;0-30;['High School', 'College General Ed'];14;20;
6;https://www.merlot.org/merlot/viewMaterial.htm?id=75572;Mathematics and Statistics/Mathematics/Calculus/Multivariable;divergence,vector fields,divergence theorem,field,Green's theorem,curl,3d applets,2d applets;Vector Fields Simulation;This applet demonstrates various properties of vector fields. You can select from a number of vector fields and see how particles move in the field if it is treated as either a velocity or a force field. This helps you visualize the field. Also you can see the values of the divergence and curl of the field. [From Authors Description];Simulation;English;Bassa;Website;0-30;['College General Ed'];18;20;
7;https://www.merlot.org/merlot/viewMaterial.htm?id=75403;Arts/Art History;Prehistoric,Cave,historical timeline,Drawing,France,Lascaux,including;The Cave of Lascaux;Developed by the French Ministry of Culture and Communication, this Website shares the prehistoric artwork of the cave at Lascaux. Includes opportunities to both discover and learn about the cave, including a history of the cave, a virtual tour of the drawings, and a chance to test what you have learned. The site explains the geological and historical timeline of the cave, the story and circumstances of its discovery, the circumstances of its... Show More;Reference Material;English;Media;Website;30-60;['Middle School', 'High School', 'College General Ed'];11;20;
8;https://www.merlot.org/merlot/viewMaterial.htm?id=74669;Science and Technology/Computer Science;problem,recursive;Towers of Hanoi;A very good implementation of the classic Towers of Hanoi problem. Teaches recursive functions and stacks as well as recurrence relations.;Simulation;English;Media;;0-30;['College General Ed'];18;20;
9;https://www.merlot.org/merlot/viewMaterial.htm?id=74584;Mathematics and Statistics/Mathematics/Algebra and Number Theory/Linear Algebra;parallelogram law,3-d,java applet,2-d,vector addition;Vector Addition (Physics, Math);Graphically adds any two vectors to get a third.;Simulation;English;Bassa;;0-30;['College General Ed'];18;20;
10;https://www.merlot.org/merlot/viewMaterial.htm?id=74994;Science and Technology/Physics/Collections;features,including coherent,oscillator,magnetic;Applets for quantum mechanics;This set of applets features illustrations of quantum mechanics through interactive animations in the following domains : Young interference fringes - wavepacket propagation - linear superposition of eigenstates (including coherent states of the harmonic oscillator) - nuclear magnetic resonance.;Simulation;English;Bassa;Website;30-60;['College General Ed'];18;20;
11;https://www.merlot.org/merlot/viewMaterial.htm?id=75822;Academic Support Services/Faculty Development/Assessment;online;Principles of Online Design Checklist;Checklist for benchmarks of quality in online courses, cross-referenced to the Principles of Online Design.;Tutorial;English;Media;Website;30-60;['High School', 'College General Ed', 'Graduate School', 'Professional'];14;100;
12;https://www.merlot.org/merlot/viewMaterial.htm?id=76046;Science and Technology/Information Technology/IT Infrastructure/Web;key;Hobbes Internet Timeline v5.4;A timeline highlighting some of the key events and technologies which helped shape the Internet.;Reference Material;English;Medio bassa;;0-30;['High School', 'College General Ed', 'Graduate School'];14;28;
13;https://www.merlot.org/merlot/viewMaterial.htm?id=74598;Science and Technology/Physics/Oscillations and Waves/Waves;point,wave;Doppler Effect and Shock Wave (Physics);Demonstrates doppler effect with moving point source.;Simulation;English;Medio bassa;;30-60;['College General Ed'];18;20;
14;https://www.merlot.org/merlot/viewMaterial.htm?id=74600;Science and Technology/Physics/Optics;slit,allows,includes;Double Slit Experiment (Physics);Graphical illustration of a double slit experiment. Allows user to change wavelength and slit separation. Includes tools to determine differences in path length between interfering wavefronts.;Simulation;English;Medio bassa;;0-30;['College General Ed'];18;20;
15;https://www.merlot.org/merlot/viewMaterial.htm?id=74604;Science and Technology/Physics/Optics/Radiation;fourier;Fourier Synthesis (Physics);Demonstrates Fourier Synthesis. Can modulate value of fourier functions and magnitude both graphical and auditory.;Simulation;English;Medio bassa;;0-30;['College General Ed'];18;20;
16;https://www.merlot.org/merlot/viewMaterial.htm?id=370522;Education/TeacherEd;reading,young,reading games,reading practices;Starfall reading practices;This site is intended to help with beginning readers. its main goal is to inspire a love for reading and writing. This will help prepare young children for school.;Drill and Practice;English;Media;;0-30;['Grade School', 'College General Ed'];6;20;
17;https://www.merlot.org/merlot/viewMaterial.htm?id=74527;Science and Technology/Physics/Optics;image;Converging Lens Images (physics);Illustrates image formation by a converging lens. Allows interactive adjustment of variables;Simulation;English;Medio bassa;Website;0-30;['College General Ed'];18;20;
18;https://www.merlot.org/merlot/viewMaterial.htm?id=74528;Science and Technology/Physics/Optics;image;Diverging Lens Images (physics);Illustrates image formation by a diverging lens.;Simulation;English;Medio bassa;Website;0-30;['College General Ed'];18;20;
19;https://www.merlot.org/merlot/viewMaterial.htm?id=74529;Science and Technology/Physics/Optics;image;Diverging Mirror Images (Physics);Illustrates image formation by a diverging mirror.;Simulation;English;Medio bassa;Website;0-30;['College General Ed'];18;20;
20;https://www.merlot.org/merlot/viewMaterial.htm?id=74393;Mathematics and Statistics/Statistics and Probability/Data Analysis;Guessing Correlations;Guessing Correlations;Demonstrates Correlation Coefficients in Statistics.;Simulation;English;Media;Website;0-30;['College General Ed'];18;20;
21;https://www.merlot.org/merlot/viewMaterial.htm?id=74398;Mathematics and Statistics/Statistics and Probability/Data Analysis;Histogram Explorer;Histogram Explorer;Histogram Explorer is a tool for understanding histograms and their statistics;Simulation;English;Medio bassa;;0-30;['College General Ed'];18;20;
22;https://www.merlot.org/merlot/viewMaterial.htm?id=75358;Science and Technology/Biology;populations,rates,statistics,uses,media,java;6 Billion Human Beings;Using interactive media (Java applets and Shockwave), this website provides an introduction to human population growth. The site uses visitors answers to present various aspects such as daily statistics on fertility rates, death rates, statistics on certain population dynamics, numerous statistics for different global populations as well as thought-provoking questions about the future. Developed as an online exhibit at the Museum National dHistoire Naturelle in Paris, France, the site is available in English or French.;Simulation;English;Media;Website;0-30;['College General Ed'];18;20;
23;https://www.merlot.org/merlot/viewMaterial.htm?id=75361;Humanities/English/Literature/Prose Fiction;library,links,bibliographies primary;Kate Chopin: A Re-Awakening;This site is a companion to a PBS program on the life and work of nineteenth-century Louisiana author Kate Chopin. Visitors to this site will find a clip from the documentary, the transcript, excerpts from interviews made during the production, and a chronology of Choplins life. The site has an electronic library containing the fulltext of _The Awakening_ and twelve short stories as well as related links, bibliographies, primary sources, and an extensive list of selected criticism.;Reference Material;English;Media;;0-30;['College General Ed'];18;20;
24;https://www.merlot.org/merlot/viewMaterial.htm?id=74323;Science and Technology/Engineering;gates,circuit,power;Basic CMOS Technology;"Description of the basic operation of CMOS circuits including inverters, NAND gates, and NOR gates. Circuit simulations are shown. Power dissipation is discussed. Including: Inverter; NAND and NOR gates; Transmission gates;D-latch with T-gates; Power Consumption; Complex gates; SRAM cell";Presentation;English;Media;Website;30-60;['College General Ed'];18;20;
25;https://www.merlot.org/merlot/viewMaterial.htm?id=74404;Science and Technology/Physics/Modern Physics/Condensed Matter;Bragg's Law and Diffraction (Physics);Braggs Law and Diffraction (Physics);How waves reveal the atomic structure of crystals;Simulation;English;Medio bassa;;0-30;['College General Ed'];18;20;
26;https://www.merlot.org/merlot/viewMaterial.htm?id=74451;Science and Technology/Physics/Oscillations and Waves/Waves;Doppler;Doppler;Vary the velocity and notice the wavelength shift ahead of and behind the source.;Simulation;English;Medio bassa;;0-30;['College General Ed'];18;20;
27;https://www.merlot.org/merlot/viewMaterial.htm?id=74710;Science and Technology/Physics/Classical Mechanics/Reference Frames;observers,applet;Relative Motion (frame of reference);An object may appear to have one motion to one observer and a different motion to a second observer, depending on how the two observers are moving with respect to one another. This java applet let you view objects from different frame of reference.;Simulation;English;Medio bassa;;0-30;['College General Ed'];18;20;
28;https://www.merlot.org/merlot/viewMaterial.htm?id=75023;Mathematics and Statistics/Mathematics/General and Liberal Arts Math;puzzle,math puzzle,barycentric coordinates,graph theory;Three glass puzzle;An old puzzle implemented in JavaScript. Several research question are asked about the puzzle, a couple of question are answered in a regorous manner. Two implementation are offered.;Simulation;English;Bassa;;0-30;['College General Ed'];18;20;
29;https://www.merlot.org/merlot/viewMaterial.htm?id=75025;Science and Technology/Physics/Classical Mechanics/Forces and Dynamics;fall;Gravitational Free Fall;This is a Java simulation of a free fall experiment. The applet calibrates its timer to the computer.;Simulation;English;Medio bassa;;0-30;['Middle School', 'High School', 'College General Ed'];11;20;
30;https://www.merlot.org/merlot/viewMaterial.htm?id=74940;Science and Technology/Physics/Oscillations and Waves/Oscillators;showing,mass,simple;Spring Force and SHM (simple harmonic motion);This applet shows a hanging mass on a spring. Users may add or remove mass from the spring to change the equilibrium point, or may observe the oscillatory motion on a graph showing velocity vs. position.;Simulation;English;Medio bassa;;0-30;['High School', 'College General Ed'];14;20;
31;https://www.merlot.org/merlot/viewMaterial.htm?id=75216;Science and Technology/Engineering;performance,engine,contains;Internal Combustion Engine;This site was developed to be an addition to a senior level internal combustion engine class. The site contains text that reviews the subject matter and 21 applets that perform simple calculations. The Engine Performance applets under the Thermodynamic section are the most involved.;Simulation;English;Medio bassa;;0-30;['College General Ed'];18;20;
32;https://www.merlot.org/merlot/viewMaterial.htm?id=74345;Science and Technology/Chemistry/Physical;material;Thermodynamic Equilibrium;A simulation of the kinetic theory of gasses. Students can study the dependence of the mixing of two gasses on temperature and pressure. This material includes several virtual labs for students to perform.;Simulation;English;Medio bassa;;0-30;['College General Ed'];18;20;
33;https://www.merlot.org/merlot/viewMaterial.htm?id=74256;Science and Technology/Chemistry;gas;Ideal Gas Law;Explore the relationships between Volume, Pressure and Temperature that form the basis of the ideal gas law and the piston.;Simulation;English;Bassa;Website;0-30;['College General Ed'];18;20;
34;https://www.merlot.org/merlot/viewMaterial.htm?id=74493;Mathematics and Statistics/Mathematics/Calculus;Tractix,cardioid,limaconl,Conchoid,Witch of Agnesi,Cissoid of Diocles,Astroid,Lemniscate,Tricuspoid,catenary;Famous Curves (Math);Interactive exporation of famous curves in the history of Math;Simulation;English;Bassa;;0-30;['College General Ed'];18;20;
35;https://www.merlot.org/merlot/viewMaterial.htm?id=74494;Mathematics and Statistics/Mathematics/Analysis;Square wave,sinusoidal oscillations,Periodic signal,Fourier series;Fourier Synthesis (Math);demonstration of Fourier series;Simulation;English;Media;;0-30;['College General Ed'];18;20;
36;https://www.merlot.org/merlot/viewMaterial.htm?id=74556;Mathematics and Statistics/Statistics and Probability/Brownian Motion;Lottery Game (Mathematics, Statistics);Lottery Game (Mathematics, Statistics);Flip coins to see if you can beat the odds.;Simulation;English;Bassa;;0-30;['College General Ed'];18;20;
37;https://www.merlot.org/merlot/viewMaterial.htm?id=75011;Mathematics and Statistics/Mathematics/Developmental Mathematics/Arithmetic;chebyshev,games,zollner,Hanoi,illusion,Rorley,Napier,Josephus,Cantor,math,Kanizsa,poggendorff,Gerbino,Ponzo,Proizvolov,hering,Peano,Julia,Wundt;Eye Opener Series;A collection of Java applets - math puzzles and problem illustrations - that open eyes, each for its own reason.;Simulation;English;Medio bassa;;30-60;['Grade School'];6;11;
